Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Week,Day,PrevDayChng,Var,EMA5,EMA12,EMA26,MACD,Signal,Short_Gain,Long_Gain
2011-08-18,0.013846444009189662,0.021252736067607636,0.006670874105279279,0.009255008003491771,0.9980653968782596,0.0,0,0.6153846153846154,0.75,0.5470451978681642,0.014991873632699408,0.0023563539190301075,0.0012169728678704805,0.0006187849061318751,0.7176378210159121,0.7166708916564557,0.05615240491415019,0.11182677901687965
2011-08-19,0.0056787097469109815,0.012415894117136894,0.004617373929927615,0.004940388413228247,0.8265339630213273,0.0,0,0.6153846153846154,1.0,0.5470451978681642,0.014991873632699408,0.0009004832916293393,0.0005401270116946466,0.0002892545246974687,0.7138135543535661,0.715758232320931,0.046253817840856026,0.11957647352831802
2011-08-22,0.010777823574767698,0.010916270968225561,0.00440980677088354,0.005148128325086376,0.5162059981610128,0.0,0,0.6346153846153846,0.0,0.46540304874634997,0.014991873632699408,0.0,0.0,0.0,0.7110450458641846,0.7143674016794845,0.03778900216682146,0.12421066675671066
2011-08-23,0.006117150831078999,0.014007965100394482,0.004802015119526437,0.013708028044416842,0.6297418793767863,0.0,0,0.6346153846153846,0.25,0.5510413564643479,0.014991873632699408,0.0022880220301772503,0.0008857836982068545,0.00038593667685477007,0.7165381920827572,0.7145656737772974,0.03306411392609432,0.07112622854028694
2011-08-24,0.013131188275269157,0.017861053845341923,0.012508219122190078,0.01749190193493727,0.45903715916800314,0.0,0,0.6346153846153846,0.5,0.7115749484966307,0.010163643006485751,0.005090152566053885,0.0022288793472663992,0.0010322799691643847,0.7242083102739055,0.7165547613442332,0.008130151616638548,0.03947970426291425
2011-08-25,0.01899158452351629,0.020537442041043463,0.012392830006613786,0.01333879594906745,0.5917158876293372,0.0,0,0.6346153846153846,0.75,0.6174576981069697,0.01070550781240667,0.0055568680690721295,0.0027138361091980645,0.0013135512497103874,0.7264616758178473,0.7186837959632806,-0.003095912692627212,0.05444710392637586
2011-08-26,0.01197760665930081,0.0184840708458468,0.007732244527447918,0.017238149924639123,0.5960317744888849,0.0,0,0.6346153846153846,1.0,0.4708351872165071,0.00847506175300338,0.007183760391858085,0.0037358861727167514,0.001871801964594244,0.731582772042347,0.7216091707235829,-0.011019852418579168,0.0195731151960008
2011-08-29,0.02090660256813892,0.02522117838105553,0.017445717961844076,0.025059671136880568,0.34581223248540993,0.0,0,0.6538461538461539,0.0,0.6197064808461747,0.007552685806775147,0.010907550400022892,0.0058276806102824374,0.002986071832431769,0.7423687219299923,0.7265235321040427,-0.029828451405274903,-0.012799435852037577
2011-08-30,0.023836884821690885,0.027528492299446095,0.020214492233678993,0.025798049643969645,0.4477860746254415,0.0,0,0.6538461538461539,0.25,0.6907048884807144,0.009973321751706352,0.01363922617042207,0.007713491920198157,0.0040741970742442235,0.7511918812439704,0.7325606637871589,-0.01898450033411625,-0.03712169292468659
2011-08-31,0.02759769028033937,0.03002031689421486,0.02492128162024987,0.0270439535925574,0.5703704288923961,0.0,0,0.6538461538461539,0.5,0.5602283384141009,0.012455760553035775,0.015880745410560282,0.009504626680925388,0.005176876738712088,0.7588265384485421,0.7392123762755407,-0.0064637296656788745,-0.04318539550017586
